ID,TITLE,GENRE,LANGUAGE,RELEASE_YEAR,DURATION_MINUTES,RATING,COUNTRY,DIRECTOR
F001,The Quiet Platform,Drama,Serbian,2021,102,7.4,Serbia,Milica Petrovic
F002,Borrowed Light,Science Fiction,French,2019,95,6.2,France,Sofia Ricci
F003,A Winter in Glass,Thriller,Spanish,2020,108,6.9,Spain,Gabriel Santos
F004,Letters from the Harbor,Animation,English,2021,121,7.6,United Kingdom,Mateo Silva
F005,The Missing Frame,Documentary,English,2022,134,8.3,United Kingdom,Adrian Cole
F006,Small Town Orchestra,Comedy,Serbian,2023,88,9,Serbia,Nadia Rahman
F007,Clouds over the Library,Drama,Japanese,2024,101,5.8,Japan,Victor Chen
F008,A House for Sparrows,Science Fiction,German,2025,114,6.5,Germany,Louis Bernard
F009,The Blue Suitcase,Thriller,English,2018,127,7.2,United Kingdom,Ren Sato
F010,Paper Moons,Animation,English,2019,140,9.8,United Kingdom,Nadia Rahman
F011,Under the Water Tower,Documentary,Serbian,2020,94,8.6,Serbia,Pavel Novak
F012,An Unfinished Waltz,Comedy,Japanese,2021,107,9.3,Japan,Diego Torres
F013,The Third Balcony,Drama,Italian,2022,120,6.1,Italy,Jonas Weber
F014,Footsteps in the Snow,Science Fiction,English,2023,133,6.8,United Kingdom,Elena Kovac
F015,A Pocket of Summer,Thriller,English,2024,87,7.5,United Kingdom,Sara Lind
F016,The Clockmaker's Garden,Animation,French,2025,100,8.2,France,Milica Petrovic
F017,Last Bus to the Coast,Documentary,Spanish,2018,113,8.9,Spain,Minseo Park
F018,Murmurs of the Market,Comedy,Korean,2019,126,5.7,South Korea,Amina Diallo
F019,The Red Bicycle,Drama,English,2020,139,6.4,United Kingdom,Hana Mori
F020,Signals from Home,Science Fiction,Serbian,2021,93,7.1,Serbia,Claire Moreau
F021,The Longest Sunday,Thriller,French,2022,106,7.8,France,Nadia Rahman
F022,A Room above the Bakery,Animation,Spanish,2023,119,8.5,Spain,Ines Costa
F023,Portrait of a Stranger,Documentary,English,2024,132,9.2,United Kingdom,Anja Fischer
F024,The Sleepless River,Comedy,English,2025,86,6,United Kingdom,Lucia Alvarez
F025,One More Rehearsal,Drama,Serbian,2018,99,6.7,Serbia,Tomas Varga
F026,The Last Projection,Science Fiction,Japanese,2019,112,9.7,Japan,Leila Haddad
F027,Between Two Stations,Thriller,German,2020,125,8.1,Germany,Chloé Martin
F028,The Lantern Keeper,Animation,English,2021,138,8.8,United Kingdom,Sofia Ricci
F029,A Song for the City,Documentary,English,2022,92,5.6,United Kingdom,Gabriel Santos
F030,The Empty Aquarium,Comedy,Serbian,2023,105,6.3,Serbia,Sara Lind
F031,Windows Facing East,Drama,Japanese,2024,118,7,Japan,Adrian Cole
F032,The Night Archivist,Science Fiction,Italian,2025,131,7.7,Italy,Nadia Rahman
F033,Dancing with Shadows,Thriller,English,2018,85,8.4,United Kingdom,Victor Chen
